appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
353990,Parvaneh: Legacy of the Light's Guardians,64,0.640625,Bearded Bird Game Studio,KPL,50,0,1,25,23,3695,905
354020,KF2 - Digital Deluxe Edition DLC,113,0.92920354,Tripwire Interactive,Tripwire Interactive,50,0,1,-1,-1,923,0
354140,Five Nights at Freddy's 3,8186,0.893476667,Scott Cawthon,Scott Cawthon,68,0,1,23,28,2950,3184
354160,WRC 5,932,0.657725322,KT Racing,Nacon,65,0,9,-1,-1,3695,174
353270,Hyperdimension Neptunia Re;Birth3 V Generation,3313,0.948686991,Idea Factory,Idea Factory,50,0,3,2,-1,5595,1005
353280,Metamorphabet,106,0.952830189,Vectorpark,Vectorpark,50,0,4,23,-1,1850,10
353330,Love at First Sight,1278,0.960093897,Creepy Cute,Sekai Project,50,0,23,-1,-1,3695,64
353360,how do you Do It?,2588,0.844281298,Nina Freeman,none,50,1,37,23,-1,0,165
353370,Steam Controller,18235,0.798354812,Default_Name,,50,0,-1,-1,-1,0,0
353540,Stephen's Sausage Roll,1376,0.955668605,increpare games,increpare games,90,0,23,-1,-1,11095,82
353550,House of Caravan,765,0.678431373,Rosebud Games,Senpai Studios,50,0,25,23,-1,518,684
353560,Plug & Play,4716,0.845631891,Mario von Rickenbach,Etter Studio,50,0,25,4,23,1095,90
353580,Rad Rodgers: World One,168,0.857142857,Slipgate Ironworks™,HandyGames,72,0,1,25,23,7395,14
353610,DEUS EX MACHINA 2,107,0.570093458,Automata Source,Automata Source,50,0,23,-1,-1,0,4
353630,Oil Enterprise,177,0.502824859,Crafty Studios,astragon Entertainment,50,0,23,28,2,9295,105
353640,Train Valley,3025,0.896859504,Alexey Davydov,Flazm,69,0,1,25,4,3695,958
352950,Better Late Than DEAD,902,0.283813747,Odin Game Studio,Excalibur Publishing,50,0,1,25,23,1850,119
352960,Star Horizon,144,0.590277778,Orbital Knight,Orbital Knight,50,0,1,25,23,3695,-1
353070,Ghost Encounters: Deadwood - Collector's Edition,152,0.473684211,Anarchy Enterprises,Anarchy Enterprises,50,0,25,4,-1,2595,142
353090,Chicken Invaders 5,893,0.966405375,InterAction studios,InterAction studios,50,0,1,4,23,1850,61
